Date,Open,High,Low,Close,Volume
2025-09-19,4370,4410,4295,4295,1133155
2025-09-22,4210,4255,4090,4120,1109719
2025-09-23,4100,4245,4085,4170,918630
2025-09-24,4190,4425,4170,4315,1967249
2025-09-25,4375,4460,4305,4410,1220774
2025-09-26,4500,4660,4490,4580,1440883
2025-09-29,4520,4565,4440,4470,1384959
2025-09-30,4475,4530,4455,4515,841592
2025-10-01,4490,4505,4415,4490,558855
2025-10-02,4350,4430,4350,4415,768622
2025-10-10,4315,4465,4315,4380,1077384
2025-10-13,4525,4595,4340,4385,940505
2025-10-14,4355,4620,4240,4520,2218120
2025-10-15,4455,4525,4375,4405,1258079
2025-10-16,4365,4425,4320,4350,644986
2025-10-17,4390,4405,4130,4300,1323052
2025-10-20,4200,4265,4040,4085,1541715
2025-10-21,4020,4165,3985,4110,2046464
2025-10-22,4090,4140,4020,4020,1830611
2025-10-23,4085,4145,4015,4105,1329120
2025-10-24,4040,4055,3935,3975,1068674
2025-10-27,3880,3915,3680,3685,1230867
2025-10-28,3705,3755,3665,3680,1527984
2025-10-29,3645,3775,3645,3710,708522
2025-10-30,3700,3865,3655,3780,1949204
2025-10-31,3755,3780,3660,3700,1365307
2025-11-03,3630,3700,3530,3535,961490
2025-11-04,3505,3520,3295,3375,3303644
2025-11-05,3400,3780,3400,3570,6897001
2025-11-06,3465,3665,3400,3570,2336825
2025-11-07,3685,3865,3615,3770,2490146
2025-11-10,3725,3835,3690,3715,559228
2025-11-11,3690,3830,3580,3755,937384
2025-11-12,3670,3710,3485,3485,1041854
2025-11-13,3455,3500,3350,3355,1098872
2025-11-14,3495,3525,3405,3505,656770
2025-11-17,3450,3510,3425,3455,789151
2025-11-18,3475,3675,3445,3620,1478068
2025-11-19,3605,3860,3600,3710,2070225
2025-11-20,3595,3595,3465,3515,1077435
2025-11-21,3720,3790,3690,3755,863615
2025-11-24,3635,3930,3635,3880,1400200
2025-11-25,3795,3955,3745,3920,1130608
2025-11-26,3830,3870,3685,3705,1123211
2025-11-27,3685,3710,3645,3695,858165
2025-11-28,3545,3545,3355,3355,2482401
2025-12-01,3285,3290,3150,3250,3429734
2025-12-02,3255,3325,3240,3245,3016432
2025-12-03,3215,3295,3195,3260,1810812
